energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name
0.127,0.113,113.414,0.0341,0.972,5.41e-06,4,0.499,0,189213,-13.775,0.0754,1,audio_features,spotify:track:7bWiQ6WWYmdVoo53ffeIX2,Killer
0.881,0.074,140.912,0.0573,0.0103,2.54e-06,3,0.475,2,235334,-3.207,0.426,1,audio_features,spotify:track:6VVd4kRfzBsZqFbvEAjloh,All For You
0.842,0.146,131.026,0.0304,0.0512,0.0026,4,0.708,1,230080,-5.97,0.745,1,audio_features,spotify:track:2PFtst7Dy48ZLqgxjTQ3es,Super America
0.526,0.0675,85.024,0.0251,0.0724,0.0,4,0.512,1,226330,-5.44,0.249,1,audio_features,spotify:track:05CrK6Q5VGtfPDtyQFJ4Kf,Sad Song (feat. Elena Coats)
0.777,0.391,146.353,0.0509,0.00247,0.000901,4,0.351,3,191907,-7.764,0.341,1,audio_features,spotify:track:1C5Vb0EgHd4uYbGxACOjGG,Turn Off This Song and Go Outside
0.439,0.514,97.055,0.025,0.39,0.00385,4,0.48,9,272378,-7.221,0.152,1,audio_features,spotify:track:6XHikJpK06NoXaFwkH4tPL,I Spend Too Much Time in My Room
0.413,0.0799,130.972,0.0352,0.876,0.0226,4,0.611,5,238747,-11.408,0.0698,1,audio_features,spotify:track:0pCTr2E9CtulIwNprituKi,Ms
0.825,0.18,167.967,0.0434,0.00106,0.000396,4,0.369,11,204123,-5.357,0.316,0,audio_features,spotify:track:5LB1wOFXEZeRJLJTlFgB2O,Dead Century
0.856,0.261,106.04,0.0646,0.0628,0.0,4,0.582,4,204840,-4.276,0.45,1,audio_features,spotify:track:6uCmU6ldcsVpLAKNCojVg8,Fire Escape
0.499,0.0875,78.621,0.173,0.61,0.0,4,0.421,5,211733,-8.869,0.297,1,audio_features,spotify:track:05u81UgU27g8uL5twJ7ABz,Fly Away With Me
0.906,0.275,142.928,0.0675,0.00229,0.0,4,0.437,0,219767,-3.142,0.603,1,audio_features,spotify:track:0KHwSxopuPfegWvsKkQCC7,Josie
0.774,0.194,147.397,0.04,0.00268,0.0,4,0.399,2,235627,-6.339,0.271,1,audio_features,spotify:track:1uGqSlGkFiv714TRyiQhR6,Mind-Reader
0.829,0.139,125.934,0.0473,0.00306,0.00416,4,0.448,8,303587,-5.058,0.168,1,audio_features,spotify:track:7Hn0bZgca6QFz6OyKkvAi6,Sometime Around Midnight
0.678,0.0611,90.0,0.0562,0.031,0.0016,4,0.699,5,215907,-5.671,0.932,0,audio_features,spotify:track:7zAHRvmVHI4Ji0X0KWxQkV,All Of The People
